"code_bss";"urn_bss";"date_mesure";"timestamp_mesure";"niveau_nappe_eau";"mode_obtention";"statut";"qualification"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-03";"1265155200000";"20.21";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-04";"1265241600000";"20.08";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-05";"1265328000000";"20.06";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-06";"1265414400000";"20.11";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-07";"1265500800000";"20.27";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-08";"1265587200000";"20.28";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-09";"1265673600000";"20.44";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-10";"1265760000000";"20.5";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-11";"1265846400000";"20.8";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-12";"1265932800000";"20.81";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-13";"1266019200000";"20.8";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-14";"1266105600000";"20.58";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-15";"1266192000000";"20.44";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-16";"1266278400000";"20.45";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-17";"1266364800000";"20.24";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-18";"1266451200000";"20.1";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-19";"1266537600000";"20.1";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-20";"1266624000000";"20.16";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-21";"1266710400000";"20.17";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-22";"1266796800000";"20.16";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-23";"1266883200000";"20.29";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-24";"1266969600000";"20.38";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-25";"1267056000000";"20.38";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-26";"1267142400000";"20.51";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-27";"1267228800000";"20.6";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-02-28";"1267315200000";"21.24";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-01";"1267401600000";"21.41";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-02";"1267488000000";"21.66";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-03";"1267574400000";"21.68";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-04";"1267660800000";"21.68";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
